"parameter","method","coverage","bias","MSE"
"DTE..59","TWFE.ever.adopted",0.949,1.57035403270004e-06,2.60760138048124e-05
"DTE..6","group.time.ATT",0.997,-1.24789727544661e-05,5.82041025183826e-06
"DTE..6","group.time.ATT.ever.adopted",0.988,0.000133880761379026,1.16195589087198e-05
"DTE..6","TWFE",0.954,0.000128552057621654,2.12933097743326e-05
"DTE..6","TWFE.ever.adopted",0.954,0.000128552057621654,2.12933097743326e-05
"DTE..60","group.time.ATT",0.996,-1.51679086672559e-05,1.06193128215064e-05
"DTE..60","group.time.ATT.ever.adopted",0.995,-0.000103908192224598,1.73846003701986e-05
"DTE..60","TWFE",0.959,0.000147798113118059,2.47013522414018e-05
"DTE..60","TWFE.ever.adopted",0.959,0.000147798113118059,2.47013522414018e-05
"DTE..61","group.time.ATT",0.995,4.87391822967242e-05,1.18716132666704e-05
"DTE..61","group.time.ATT.ever.adopted",0.988,-9.24947571119842e-06,1.79192935544469e-05
"DTE..61","TWFE",0.958,8.07599812389694e-05,2.48982972466621e-05
"DTE..61","TWFE.ever.adopted",0.958,8.07599812389694e-05,2.48982972466621e-05
"DTE..62","group.time.ATT",0.993,7.88062752641383e-06,1.26705293059463e-05
"DTE..62","group.time.ATT.ever.adopted",0.99,0.000238873849794061,1.85027086330139e-05
"DTE..62","TWFE",0.938,0.000153528556830051,2.70724036766701e-05
"DTE..62","TWFE.ever.adopted",0.938,0.000153528556830051,2.70724036766701e-05
"DTE..63","group.time.ATT",0.998,-3.9876468246505e-05,1.23919701229806e-05
"DTE..63","group.time.ATT.ever.adopted",0.988,-7.87718250576466e-05,1.83320536318415e-05
"DTE..63","TWFE",0.952,-2.945188901631e-05,2.55546005005587e-05
"DTE..63","TWFE.ever.adopted",0.952,-2.945188901631e-05,2.55546005005587e-05
"DTE..64","group.time.ATT",0.985,0.000200651247942136,3.35300753117656e-05
"DTE..64","TWFE",0.945,1.51167417957475e-06,1.813680463323e-05
"DTE..64","TWFE.ever.adopted",0.945,1.51167417957475e-06,1.813680463323e-05
"DTE..65","group.time.ATT",0.987,-0.000362724407543831,3.39180162464494e-05
"DTE..65","TWFE",0.957,-0.000135044089348429,3.5600277562009e-05
"DTE..65","TWFE.ever.adopted",0.957,-0.000135044089348429,3.5600277562009e-05
"DTE..66","group.time.ATT",0.984,0.000383061371184762,3.24611317960865e-05
"DTE..66","TWFE",0.954,0.000210654658639662,3.78792476098259e-05
"DTE..66","TWFE.ever.adopted",0.954,0.000210654658639662,3.78792476098259e-05
"DTE..67","group.time.ATT",0.984,-0.000156547031762937,3.04520007235426e-05
"DTE..67","TWFE",0.952,6.73076472476186e-05,3.73007453121275e-05
"DTE..67","TWFE.ever.adopted",0.952,6.73076472476186e-05,3.73007453121275e-05
"DTE..68","group.time.ATT",0.983,0.000412750985486387,3.28861040658878e-05
"DTE..68","TWFE",0.96,9.86926348222238e-05,3.67712114013998e-05
"DTE..68","TWFE.ever.adopted",0.96,9.86926348222238e-05,3.67712114013998e-05
"DTE..69","group.time.ATT",0.982,-0.000383114861880374,3.48309751986842e-05
"DTE..69","TWFE",0.956,-0.000156268736722092,3.79571467187368e-05
"DTE..69","TWFE.ever.adopted",0.956,-0.000156268736722092,3.79571467187368e-05
"DTE..7","group.time.ATT",0.996,0.00010225098824433,5.63553027962415e-06
"DTE..7","group.time.ATT.ever.adopted",0.997,6.84179799514605e-05,1.0435043579106e-05
"DTE..7","TWFE",0.959,8.84512328152215e-05,2.12553630472717e-05
"DTE..7","TWFE.ever.adopted",0.959,8.84512328152215e-05,2.12553630472717e-05
"DTE..70","group.time.ATT",0.979,6.88829668772839e-05,3.39245788808263e-05
"DTE..70","TWFE",0.956,8.60542897179698e-06,3.55668280386489e-05
"DTE..70","TWFE.ever.adopted",0.956,8.60542897179698e-06,3.55668280386489e-05
"DTE..8","group.time.ATT",0.998,-0.000114626703861591,5.29629709405741e-06
"DTE..8","group.time.ATT.ever.adopted",0.997,-0.000239002399318498,1.13134003827442e-05
"DTE..8","TWFE",0.961,-2.32799762077694e-05,1.88677574135943e-05
"DTE..8","TWFE.ever.adopted",0.961,-2.32799762077694e-05,1.88677574135943e-05
"DTE..9","group.time.ATT",0.996,4.89437756327144e-05,5.34254087633008e-06
"DTE..9","group.time.ATT.ever.adopted",0.996,0.000227254379295483,1.10563708245862e-05
"DTE..9","TWFE",0.955,9.4483138982103e-05,2.16183925539423e-05
"DTE..9","TWFE.ever.adopted",0.955,9.4483138982103e-05,2.16183925539423e-05
"DTE.0","group.time.ATT",0.995,-9.35489563947431e-05,5.63358526674392e-06
"DTE.0","group.time.ATT.ever.adopted",0.993,-2.2860691339703e-05,1.15106952328972e-05
"DTE.0","TWFE",0.949,8.00446180815513e-05,2.12450985849818e-05
"DTE.0","TWFE.ever.adopted",0.949,8.00446180815513e-05,2.12450985849818e-05
"DTE.1","group.time.ATT",0.994,1.45769519891195e-05,6.59629784627841e-06
"DTE.1","group.time.ATT.ever.adopted",0.99,1.68990252223579e-05,1.13846842411213e-05
"DTE.1","TWFE",0.961,5.40096015125846e-05,2.35181136809869e-05
"DTE.1","TWFE.ever.adopted",0.961,5.40096015125846e-05,2.35181136809869e-05
"DTE.10","group.time.ATT",0.991,-5.97486415171751e-05,1.10583563686136e-05
