"parameter","method","coverage","bias","MSE","power"
"DTE..43","group.time.ATT.ever.adopted",0.988,-3.88468322479646e-05,9.95240584161522e-06,0.005
"DTE..43","stacked.regression",0.96,-5.84622507303237e-05,5.87656457197933e-06,0.024
"DTE..43","TWFE",0.94,-5.8483944567131e-05,9.81642679034771e-06,0.032
"DTE..43","TWFE.ever.adopted",0.953,-0.000139384940866538,1.34870989308543e-05,0.03
"DTE..44","group.time.ATT",0.997,-9.90758821305822e-05,9.55969935641403e-06,0.002
"DTE..44","group.time.ATT.ever.adopted",0.976,-2.95083186093094e-05,2.44987044079613e-05,0.012
"DTE..44","stacked.regression",0.949,-4.81396281975077e-05,6.56593546219245e-06,0.024
"DTE..44","TWFE",0.943,-4.90439341486687e-05,8.36581376669893e-06,0.028
"DTE..44","TWFE.ever.adopted",0.951,-8.68830370229953e-05,9.17176696693472e-06,0.026
"DTE..45","group.time.ATT",0.996,0.000105644462658953,9.55591655280753e-06,0.002
"DTE..45","group.time.ATT.ever.adopted",0.986,0.000107446035805668,2.3300517581271e-05,0.008
"DTE..45","stacked.regression",0.942,3.49955740317371e-05,1.00802996335147e-05,0.032
"DTE..45","TWFE",0.951,0.000106318678863341,1.12103053271902e-05,0.017
"DTE..45","TWFE.ever.adopted",0.956,0.000118413274360415,1.59049887851723e-05,0.021
"DTE..46","group.time.ATT",0.999,-0.000136393189665516,9.72985407075087e-06,0
"DTE..46","group.time.ATT.ever.adopted",0.981,-0.000102367250486613,2.31205468981644e-05,0.011
"DTE..46","stacked.regression",0.951,-7.06488886272162e-05,9.14667448770851e-06,0.024
"DTE..46","TWFE",0.937,-4.21744797022e-05,1.20044340078413e-05,0.03
"DTE..46","TWFE.ever.adopted",0.956,-8.16626998313936e-05,1.91516478910889e-05,0.022
"DTE..47","group.time.ATT",0.994,0.000232067818204252,9.89643713088959e-06,0.001
"DTE..47","group.time.ATT.ever.adopted",0.977,0.00018586518875799,2.30577060749589e-05,0.012
"DTE..47","stacked.regression",0.947,6.57443010382997e-05,9.98783865923233e-06,0.029
"DTE..47","TWFE",0.94,4.28337990881124e-05,1.15868303456951e-05,0.031
"DTE..47","TWFE.ever.adopted",0.954,-7.42622964692128e-05,1.95473328559405e-05,0.022
"DTE..48","group.time.ATT",0.996,-0.00027222746329817,9.62638698970938e-06,0.002
"DTE..48","group.time.ATT.ever.adopted",0.981,-0.000296522316564438,2.2196351177289e-05,0.011
"DTE..48","stacked.regression",0.962,-0.000166323517165952,9.45730345782988e-06,0.017
"DTE..48","TWFE",0.948,-7.04605168891992e-05,1.1151176470972e-05,0.027
"DTE..48","TWFE.ever.adopted",0.967,-6.19990730953989e-05,1.89816194989823e-05,0.018
"DTE..49","group.time.ATT",0.996,0.000153291392192981,1.00833024105243e-05,0.001
"DTE..49","group.time.ATT.ever.adopted",0.986,-0.000114570383144669,2.31392566046829e-05,0.006
"DTE..49","stacked.regression",0.956,0.000105903946132218,9.4398246911603e-06,0.025
"DTE..49","TWFE",0.95,0.000140157249539194,1.15892268208015e-05,0.02
"DTE..49","TWFE.ever.adopted",0.956,5.25006767548152e-05,1.99184060447258e-05,0.019
"DTE..5","group.time.ATT",0.999,5.81913889168053e-05,6.02697379482826e-06,0.001
"DTE..5","group.time.ATT.ever.adopted",0.994,1.91126721259827e-05,9.99589149661845e-06,0.005
"DTE..5","stacked.regression",0.942,2.22211386885819e-05,5.97067843308922e-06,0.028
"DTE..5","TWFE",0.951,3.26562004660433e-05,9.71058527505244e-06,0.023
"DTE..5","TWFE.ever.adopted",0.953,-4.59783489434247e-05,1.4602239879038e-05,0.023
"DTE..50","group.time.ATT",0.995,7.07776898007405e-06,9.50581698173257e-06,0.002
"DTE..50","group.time.ATT.ever.adopted",0.969,0.000159115443905794,2.33021460324707e-05,0.016
"DTE..50","stacked.regression",0.941,-4.73874460607624e-05,9.86361060189114e-06,0.026
"DTE..50","TWFE",0.953,3.07235290965654e-05,1.13910508895459e-05,0.019
"DTE..50","TWFE.ever.adopted",0.949,-1.61205410224369e-05,1.88403141418171e-05,0.025
"DTE..51","group.time.ATT",0.998,3.61307699026043e-05,9.19547250879874e-06,0.001
"DTE..51","group.time.ATT.ever.adopted",0.985,-3.23513692542435e-05,2.24226675952263e-05,0.008
"DTE..51","stacked.regression",0.947,-5.44652150408365e-05,1.00172852974529e-05,0.023
"DTE..51","TWFE",0.95,1.66548122059993e-06,1.11927484246885e-05,0.026
"DTE..51","TWFE.ever.adopted",0.949,-8.79901901197835e-05,1.71157928973306e-05,0.03
"DTE..52","group.time.ATT",0.991,-4.76393571559299e-05,1.68433638880645e-05,0.005
"DTE..52","stacked.regression",0.951,-9.05959849434406e-05,9.23135255382652e-06,0.026
"DTE..52","TWFE",0.942,1.07059479657393e-05,9.98341334834236e-06,0.032
"DTE..52","TWFE.ever.adopted",0.959,2.45566646044908e-05,1.12979142414816e-05,0.021
"DTE..53","group.time.ATT",0.995,-0.000194931499409245,1.59265446434931e-05,0.001
"DTE..53","stacked.regression",0.945,-0.000166474866466467,1.60172216332527e-05,0.031
"DTE..53","TWFE",0.942,-9.211464292994e-05,1.43292344730336e-05,0.029
"DTE..53","TWFE.ever.adopted",0.96,-0.0001957686352941,1.79057397922616e-05,0.024
"DTE..54","group.time.ATT",0.991,0.000263699515346909,1.60971315462057e-05,0.005
"DTE..54","stacked.regression",0.946,2.84566329427782e-05,1.5860698885354e-05,0.032
