"parameter","method","coverage","bias","MSE","power"
"DTE..59","TWFE",0.952,-2.55451393088474e-05,8.05419131571718e-05,0.024
"DTE..59","TWFE.ever.adopted",0.952,-2.55451393088474e-05,8.05419131571718e-05,0.024
"DTE..6","group.time.ATT",0.997,-8.24261793377741e-05,5.50452098470182e-06,0
"DTE..6","group.time.ATT.ever.adopted",0.992,-0.000148981732941249,1.03181025819818e-05,0.007
"DTE..6","stacked.regression",0.964,-4.08710953561982e-05,5.80471841790154e-06,0.015
"DTE..6","TWFE",0.948,2.62231788477541e-05,4.75949465679719e-05,0.029
"DTE..6","TWFE.ever.adopted",0.948,2.62231788477541e-05,4.75949465679719e-05,0.029
"DTE..60","stacked.regression",0.95,-8.28795074809987e-05,1.80202987943925e-05,0.028
"DTE..7","group.time.ATT",0.997,9.33882559146982e-05,5.71436885729122e-06,0.001
"DTE..7","group.time.ATT.ever.adopted",0.992,0.000149077445379698,9.44233493479482e-06,0.003
"DTE..7","stacked.regression",0.958,4.15550839815759e-05,5.74897500280922e-06,0.022
"DTE..7","TWFE",0.941,0.000118275595229935,4.76485149646536e-05,0.025
"DTE..7","TWFE.ever.adopted",0.941,0.000118275595229935,4.76485149646536e-05,0.025
"DTE..8","group.time.ATT",0.999,2.45742495481938e-05,5.78045351248171e-06,0.001
"DTE..8","group.time.ATT.ever.adopted",0.99,7.76051809970687e-05,9.29398219409353e-06,0.007
"DTE..8","stacked.regression",0.944,-5.18331719331222e-05,5.93617681290246e-06,0.027
"DTE..8","TWFE",0.955,-0.000137862668301036,4.35416447349614e-05,0.024
"DTE..8","TWFE.ever.adopted",0.955,-0.000137862668301036,4.35416447349614e-05,0.024
"DTE..9","group.time.ATT",0.998,1.12698201966941e-05,5.66278782741359e-06,0.001
"DTE..9","group.time.ATT.ever.adopted",0.991,-4.03786895877065e-05,8.11757258498816e-06,0.003
"DTE..9","stacked.regression",0.948,-7.64074214813161e-05,5.22399717587435e-06,0.026
"DTE..9","TWFE",0.953,0.000237872617392217,4.47963016412318e-05,0.019
"DTE..9","TWFE.ever.adopted",0.953,0.000237872617392217,4.47963016412318e-05,0.019
"DTE.0","group.time.ATT",0.999,-1.53179614673031e-05,5.98747665249047e-06,0.811
"DTE.0","group.time.ATT.ever.adopted",0.997,-6.88852230039541e-05,9.32660384241412e-06,0.654
