"parameter","method","coverage","bias","MSE","power"
"DTE..42","TWFE.ever.adopted",0.973,-0.000458625325454961,6.37199527535369e-05,0.014
"DTE..43","group.time.ATT",0.947,-5.83878942629713e-06,3.4274760313049e-05,0.028
"DTE..43","group.time.ATT.ever.adopted",0.832,-0.000144006472483411,5.516022782492e-05,0.095
"DTE..43","stacked.regression",0.904,-1.35069892260498e-05,3.16345548890591e-05,0.05
"DTE..43","TWFE",0.971,2.63799354015597e-05,0.000108824685675342,0.015
"DTE..43","TWFE.ever.adopted",0.971,2.63799354015597e-05,0.000108824685675342,0.015
"DTE..44","group.time.ATT",0.943,0.000367663489545143,3.23201573410958e-05,0.027
"DTE..44","group.time.ATT.ever.adopted",0.867,0.000303962566344959,4.95856923224823e-05,0.064
"DTE..44","stacked.regression",0.902,-7.66819979975276e-06,3.09345666921971e-05,0.056
"DTE..44","TWFE",0.972,-0.000103512619753917,5.85690070665485e-05,0.014
"DTE..44","TWFE.ever.adopted",0.972,-0.000103512619753917,5.85690070665485e-05,0.014
"DTE..45","group.time.ATT",0.946,-0.000129604346490269,2.72198476039264e-05,0.027
"DTE..45","group.time.ATT.ever.adopted",0.854,3.17799581964979e-05,4.95525513995397e-05,0.078
"DTE..45","stacked.regression",0.893,-0.000375331689344895,3.19175275519011e-05,0.06
"DTE..45","TWFE",0.97,-0.000221746613344555,0.000106764788862097,0.015
"DTE..45","TWFE.ever.adopted",0.97,-0.000221746613344555,0.000106764788862097,0.015
"DTE..46","group.time.ATT",0.949,-0.000200317327327145,2.88418591350895e-05,0.026
"DTE..46","group.time.ATT.ever.adopted",0.874,-0.000394653362745406,4.913588780178e-05,0.065
"DTE..46","stacked.regression",0.894,-0.000245727342854627,3.04193300622999e-05,0.058
"DTE..46","TWFE",0.969,-0.000298701608810874,6.08816769845265e-05,0.016
"DTE..46","TWFE.ever.adopted",0.969,-0.000298701608810874,6.08816769845265e-05,0.016
"DTE..47","group.time.ATT",0.949,-0.000145465419639393,3.3329270225977e-05,0.026
"DTE..47","group.time.ATT.ever.adopted",0.845,-1.84106523088566e-06,5.38611156994182e-05,0.077
"DTE..47","stacked.regression",0.906,-4.54100155274815e-05,3.2724474428575e-05,0.045
"DTE..47","TWFE",0.977,7.52664566947535e-05,0.000106034341016628,0.01
"DTE..47","TWFE.ever.adopted",0.977,7.52664566947535e-05,0.000106034341016628,0.01
"DTE..48","group.time.ATT",0.828,0.000128684157865341,6.4201510732408e-05,0.087
"DTE..48","group.time.ATT.ever.adopted",0.378,0.000150368013074754,0.000170205311802565,0.305
"DTE..48","stacked.regression",0.916,0.000100055404111912,3.28589190876614e-05,0.045
"DTE..48","TWFE",0.985,-0.000102778620267073,5.10790494055714e-05,0.007
"DTE..48","TWFE.ever.adopted",0.985,-0.000102778620267073,5.10790494055714e-05,0.007
"DTE..49","group.time.ATT",0.827,0.000146983634353571,6.63827628900741e-05,0.077
"DTE..49","group.time.ATT.ever.adopted",0.426,-0.000140732063899341,0.000172905571911371,0.288
"DTE..49","stacked.regression",0.822,0.000119731211881241,6.33663638475523e-05,0.085
"DTE..49","TWFE",0.961,0.000248585917709607,0.000127806343532587,0.018
"DTE..49","TWFE.ever.adopted",0.961,0.000248585917709607,0.000127806343532587,0.018
"DTE..5","group.time.ATT",0.996,1.03383612317217e-05,9.49503345205472e-06,0.003
"DTE..5","group.time.ATT.ever.adopted",0.964,0.000141462174271333,2.88771394172933e-05,0.014
"DTE..5","stacked.regression",0.952,1.12840009554764e-05,8.99097345274926e-06,0.027
"DTE..5","TWFE",0.973,3.2808827836845e-05,8.11342533201217e-05,0.012
"DTE..5","TWFE.ever.adopted",0.973,3.2808827836845e-05,8.11342533201217e-05,0.012
"DTE..50","group.time.ATT",0.845,0.00019152258466713,6.75901773033303e-05,0.08
"DTE..50","group.time.ATT.ever.adopted",0.37,0.000673904899316715,0.000187654313124206,0.301
"DTE..50","stacked.regression",0.821,-2.72524224723297e-05,6.20285952788779e-05,0.086
"DTE..50","TWFE",0.973,3.26323558398673e-05,7.74244349818907e-05,0.012
"DTE..50","TWFE.ever.adopted",0.973,3.26323558398673e-05,7.74244349818907e-05,0.012
"DTE..51","group.time.ATT",0.86,7.53648575107368e-05,5.99081172657208e-05,0.061
"DTE..51","group.time.ATT.ever.adopted",0.391,7.84494965590303e-05,0.000176375906029777,0.301
"DTE..51","stacked.regression",0.828,-0.00021877500713946,5.74580869903332e-05,0.095
"DTE..51","TWFE",0.961,-0.000153887240824788,0.000128350249168563,0.016
"DTE..51","TWFE.ever.adopted",0.961,-0.000153887240824788,0.000128350249168563,0.016
"DTE..52","group.time.ATT",0.855,-0.000381997671106214,6.48937322839961e-05,0.076
